type,start,end
2,1652680177961.0,1652680477945.0
1,1652680477965.0,1652680773304.0
0,1652680787110.0,1652681080289.0
5,1652681512367.0,1652681808373.0
0,1652682289115.0,1652682571716.0
2,1652682926735.0,1652683180289.0
5,1652683226860.0,1652683495028.0
2,1652684507598.0,1652684806700.0
5,1652685728857.0,1652686021028.0
4,1652686048460.0,1652686336399.0
2,1652687416322.0,1652687678481.0
5,1652687721170.0,1652687972784.0
2,1652688035749.0,1652688289941.0
3,1652688341821.0,1652688602770.0
4,1652688970158.0,1652689229300.0
3,1652689280433.0,1652689520702.0
0,1652689607640.0,1652689830857.0
5,1652689954855.0,1652690245479.0
2,1652692821782.0,1652693102282.0
5,1652693135949.0,1652693410403.0
2,1652694703084.0,1652694996334.0
5,1652695054134.0,1652695346631.0
2,1652697364212.0,1652697664207.0
1,1652697664226.0,1652697964206.0
2,1652701721195.0,1652701909707.0
5,1652702025323.0,1652702316262.0
4,1652703414746.0,1652703696323.0
3,1652704144972.0,1652704369247.0
5,1652705057109.0,1652705317267.0
2,1652714440988.0,1652714692711.0
5,1652714751955.0,1652715051653.0
4,1652715368105.0,1652715461244.0
2,1652716179963.0,1652716253635.0
4,1652716634105.0,1652716919643.0
3,1652716982104.0,1652716982265.0
4,1652717813106.0,1652717883246.0
2,1652719580338.0,1652719685244.0
5,1652719914112.0,1652720114233.0
1,1652720293106.0,1652720586283.0
3,1652720815102.0,1652720815263.0
2,1652721209971.0,1652721487265.0
5,1652721604893.0,1652721790225.0
4,1652722091100.0,1652722388284.0
5,1652723130201.0,1652723421429.0
2,1652723451325.0,1652723451945.0
4,1652723924105.0,1652724190244.0
2,1652724701725.0,1652724975813.0
4,1652725010104.0,1652725282973.0
2,1652728183064.0,1652728475563.0
0,1652728483219.0,1652728696247.0
2,1652734732847.0,1652734796149.0
